equipo;share;factor;n_habituales
Algeria;1.0;1.0;41
Argentina;1.0;1.0;24
Australia;1.0;1.0;26
Austria;1.0;1.0;20
Belgium;1.0;1.0;22
Bosnia & Herzegovina;1.0;1.0;24
Brazil;1.0;1.0;27
Cabo Verde;1.0;1.0;24
Canada;1.0;1.0;25
Colombia;1.0;1.0;25
Croatia;1.0;1.0;30
Curaçao;1.0;1.0;15
Czechia;1.0;1.0;10
Côte d'Ivoire;1.0;1.0;17
DR Congo;1.0;1.0;32
Ecuador;1.0;1.0;20
Egypt;1.0;1.0;28
England;1.0;1.0;26
France;1.0;1.0;31
Germany;1.0;1.0;30
Ghana;1.0;1.0;11
Haiti;1.0;1.0;21
Iran;1.0;1.0;19
Iraq;1.0;1.0;21
Japan;1.0;1.0;31
Jordan;1.0;1.0;21
Mexico;1.0;1.0;24
Morocco;1.0;1.0;37
Netherlands;1.0;1.0;28
New Zealand;1.0;1.0;25
Norway;1.0;1.0;15
Panama;1.0;1.0;25
Paraguay;1.0;1.0;18
Portugal;1.0;1.0;25
Qatar;1.0;1.0;27
Saudi Arabia;1.0;1.0;23
Scotland;1.0;1.0;19
Senegal;1.0;1.0;30
South Africa;1.0;1.0;33
South Korea;1.0;1.0;26
Spain;1.0;1.0;28
Sweden;1.0;1.0;18
Switzerland;1.0;1.0;27
Tunisia;1.0;1.0;20
Türkiye;1.0;1.0;25
USA;1.0;1.0;30
Uruguay;1.0;1.0;25
Uzbekistan;1.0;1.0;12
