nombre;pais;confederacion
Omar Al Ali;United Arab Emirates;AFC
Abdulrahman Al-Jassim;Qatar;AFC
Khalid Al-Turais;Saudi Arabia;AFC
Alireza Faghani;Australia;AFC
Ma Ning;China;AFC
Adham Makhadmeh;Jordan;AFC
Ilgiz Tantashev;Uzbekistan;AFC
Yusuke Araki;Japan;AFC
Pierre Atcho;Gabon;CAF
Dahane Beida;Mauritania;CAF
Mustapha Ghorbal;Algeria;CAF
Jalal Jayed;Morocco;CAF
Amin Mohamed Omar;Egypt;CAF
Abongile Tom;South Africa;CAF
Iván Barton;El Salvador;CONCACAF
Juan Gabriel Calderón;Costa Rica;CONCACAF
Ismail Elfath;United States;CONCACAF
Oshane Nation;Jamaica;CONCACAF
Drew Fischer;Canada;CONCACAF
Katia Itzel García;Mexico;CONCACAF
Saíd Martínez;Honduras;CONCACAF
Tori Penso;United States;CONCACAF
César Arturo Ramos;Mexico;CONCACAF
Ramon Abatti;Brazil;CONMEBOL
Juan Gabriel Benítez;Paraguay;CONMEBOL
Raphael Claus;Brazil;CONMEBOL
Yael Falcón Pérez;Argentina;CONMEBOL
Cristián Garay;Chile;CONMEBOL
Darío Herrera;Argentina;CONMEBOL
Kevin Ortega;Peru;CONMEBOL
Andrés Rojas;Colombia;CONMEBOL
Wilton Sampaio;Brazil;CONMEBOL
Gustavo Tejera;Uruguay;CONMEBOL
Facundo Tello;Argentina;CONMEBOL
Jesús Valenzuela;Venezuela;CONMEBOL
Campbell-Kirk Kawana-Waugh;New Zealand;OFC
Espen Eskås;Norway;UEFA
Alejandro Hernández Hernández;Spain;UEFA
István Kovács;Romania;UEFA
François Letexier;France;UEFA
Danny Makkelie;Netherlands;UEFA
Szymon Marciniak;Poland;UEFA
Maurizio Mariani;Italy;UEFA
Glenn Nyberg;Sweden;UEFA
Michael Oliver;England;UEFA
João Pinheiro;Portugal;UEFA
Sandro Schärer;Switzerland;UEFA
Anthony Taylor;England;UEFA
Clément Turpin;France;UEFA
Slavko Vinčić;Slovenia;UEFA
Felix Zwayer;Germany;UEFA
