partido_id;sofa_event_id;kickoff;sofa
MEX_RSA;15186710;1781204400;Mexico vs South Africa
KOR_CZE;15186720;1781229600;South Korea vs Czechia
CAN_BIH;15186836;1781290800;Canada vs Bosnia & Herzegovina
PAR_USA;15186873;1781312400;USA vs Paraguay
QAT_SUI;15186526;1781377200;Qatar vs Switzerland
MAR_BRA;15186850;1781388000;Brazil vs Morocco
HAI_SCO;15186853;1781398800;Haiti vs Scotland
AUS_TUR;15186874;1781409600;Australia vs Türkiye
CUR_GER;15186899;1781456400;Germany vs Curaçao
JPN_NED;15186945;1781467200;Netherlands vs Japan
CIV_ECU;15186904;1781478000;Côte d'Ivoire vs Ecuador
TUN_SWE;15186951;1781488800;Sweden vs Tunisia
CPV_ESP;15186783;1781539200;Spain vs Cabo Verde
EGY_BEL;15186837;1781550000;Belgium vs Egypt
KSA_URU;15186811;1781560800;Saudi Arabia vs Uruguay
NZL_IRN;15186832;1781571600;Iran vs New Zealand
SEN_FRA;15186501;1781636400;France vs Senegal
IRQ_NOR;15186773;1781647200;Iraq vs Norway
ARG_ALG;15186854;1781658000;Argentina vs Algeria
JOR_AUT;15186751;1781668800;Austria vs Jordan
COD_POR;15186709;1781715600;Portugal vs DR Congo
CRO_ENG;15186504;1781726400;England vs Croatia
PAN_GHA;15186687;1781737200;Ghana vs Panama
COL_UZB;15186722;1781748000;Uzbekistan vs Colombia
RSA_CZE;15186731;1781798400;Czechia vs South Africa
SUI_BIH;15186806;1781809200;Switzerland vs Bosnia & Herzegovina
QAT_CAN;15186798;1781820000;Canada vs Qatar
MEX_KOR;15186490;1781830800;Mexico vs South Korea
AUS_USA;15186878;1781895600;USA vs Australia
MAR_SCO;15186859;1781906400;Scotland vs Morocco
HAI_BRA;15186856;1781915400;Brazil vs Haiti
PAR_TUR;15186879;1781924400;Türkiye vs Paraguay
NED_SWE;15186957;1781974800;Netherlands vs Sweden
CIV_GER;15186905;1781985600;Germany vs Côte d'Ivoire
CUR_ECU;15186906;1782000000;Ecuador vs Curaçao
JPN_TUN;15186963;1782014400;Tunisia vs Japan
KSA_ESP;15186840;1782057600;Spain vs Saudi Arabia
IRN_BEL;15186499;1782068400;Belgium vs Iran
CPV_URU;15186800;1782079200;Uruguay vs Cabo Verde
NZL_EGY;15186827;1782090000;New Zealand vs Egypt
ARG_AUT;15186502;1782147600;Argentina vs Austria
IRQ_FRA;15186769;1782162000;France vs Iraq
SEN_NOR;15186770;1782172800;Norway vs Senegal
JOR_ALG;15186740;1782183600;Jordan vs Algeria
UZB_POR;15186858;1782234000;Portugal vs Uzbekistan
GHA_ENG;15186672;1782244800;England vs Ghana
PAN_CRO;15186520;1782255600;Panama vs Croatia
COD_COL;15186713;1782266400;Colombia vs DR Congo
CAN_SUI;15186821;1782327600;Switzerland vs Canada
QAT_BIH;15186829;1782327600;Bosnia & Herzegovina vs Qatar
BRA_SCO;15186861;1782338400;Scotland vs Brazil
HAI_MAR;15186864;1782338400;Morocco vs Haiti
MEX_CZE;15186732;1782349200;Czechia vs Mexico
RSA_KOR;15186744;1782349200;South Africa vs South Korea
ECU_GER;15186907;1782417600;Ecuador vs Germany
CUR_CIV;15186908;1782417600;Curaçao vs Côte d'Ivoire
TUN_NED;15186973;1782428400;Tunisia vs Netherlands
JPN_SWE;15186972;1782428400;Japan vs Sweden
USA_TUR;15186887;1782439200;Türkiye vs USA
PAR_AUS;15186891;1782439200;Paraguay vs Australia
FRA_NOR;15186537;1782500400;Norway vs France
IRQ_SEN;15186771;1782500400;Senegal vs Iraq
URU_ESP;15186841;1782518400;Uruguay vs Spain
KSA_CPV;15186803;1782518400;Cabo Verde vs Saudi Arabia
IRN_EGY;15186828;1782529200;Egypt vs Iran
NZL_BEL;15186822;1782529200;New Zealand vs Belgium
PAN_ENG;15186676;1782594000;Panama vs England
GHA_CRO;15186624;1782594000;Croatia vs Ghana
COL_POR;15186696;1782603000;Colombia vs Portugal
COD_UZB;15186717;1782603000;DR Congo vs Uzbekistan
ARG_JOR;15186734;1782612000;Jordan vs Argentina
AUT_ALG;15186747;1782612000;Algeria vs Austria
