equipo;grupo
Czechia;A
Mexico;A
South Africa;A
South Korea;A
Bosnia & Herzegovina;B
Canada;B
Qatar;B
Switzerland;B
Brazil;C
Haiti;C
Morocco;C
Scotland;C
Australia;D
Paraguay;D
Türkiye;D
USA;D
Curaçao;E
Côte d'Ivoire;E
Ecuador;E
Germany;E
Japan;F
Netherlands;F
Sweden;F
Tunisia;F
Belgium;G
Egypt;G
Iran;G
New Zealand;G
Cabo Verde;H
Saudi Arabia;H
Spain;H
Uruguay;H
France;I
Iraq;I
Norway;I
Senegal;I
Algeria;J
Argentina;J
Austria;J
Jordan;J
Colombia;K
DR Congo;K
Portugal;K
Uzbekistan;K
Croatia;L
England;L
Ghana;L
Panama;L
